team,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20
t1,0.447105342,0.078142998,0.856464677,0.175727607,0.183814667,0.983771838,0.59771042,0.906419377,0.474858734,0.604411441,0.06996788,0.574250264,0.415454349,0.716118486,0.553131498,0.368382252,0.053605623,0.440371752,0.493172227,0.564711993
t2,0.156039468,0.903677215,0.34201438,0.428391212,0.157818703,0.935976201,0.202049178,0.962172625,0.152756802,0.151336684,0.918894389,0.398172294,0.076533402,0.175578781,0.287970468,0.036927375,0.512162414,0.655442772,0.219207052,0.584963927
t3,0.583114669,0.707349358,0.874232076,0.333171477,0.530139029,0.576358413,0.057057311,0.531003456,0.719382137,0.607334056,0.464433307,0.992739333,0.607246175,0.196332035,0.60457094,0.648452439,0.76243606,0.642839212,0.339344701,0.151448168
t4,0.5985083,0.096260399,0.738549353,0.489333348,0.371049144,0.051388467,0.336832776,0.486761094,0.810829959,0.067882728,0.611796822,0.456326793,0.0205453,0.567554076,0.164007223,0.740125261,0.278924523,0.258978736,0.702392681,0.418066729
t5,0.344718555,0.130865167,0.770612171,0.905937909,0.072791174,0.707669857,0.944457981,0.824079898,0.668325438,0.742057282,0.11700218,0.75270123,0.913692271,0.89877107,0.857501958,0.60778409,0.028119945,0.93192218,0.717001171,0.829260497
t6,0.191023892,0.347748908,0.673230679,0.34762875,0.247300123,0.941261591,0.192880712,0.766558621,0.170350689,0.009416427,0.473515579,0.649418997,0.049153682,0.985466817,0.675000122,0.561337633,0.740613068,0.935129587,0.848086639,0.683778505
t7,0.032627946,0.766756161,0.807435462,0.626251779,0.403246352,0.771011977,0.652217029,0.875222384,0.30580345,0.176528652,0.200797991,0.721289082,0.969665735,0.872785028,0.45489092,0.658091396,0.158711304,0.461068262,0.032322538,0.26248326
t8,0.264707919,0.846363727,0.54702968,0.260875498,0.659719786,0.372650298,0.262881841,0.772702021,0.261031852,0.371302757,0.344028456,0.726596666,0.295779692,0.803190184,0.109742339,0.428430322,0.692420874,0.770779333,0.600573493,0.025141105
t9,0.34694329,0.334808421,0.404221436,0.693591652,0.5767172,0.068204714,0.917331901,0.045461954,0.037388114,0.491479216,0.725573101,0.862470209,0.114701838,0.034273669,0.70165693,0.255446959,0.123848632,0.623963843,0.01017294,0.377141045
t10,0.683354955,0.001641098,0.753973471,0.315669235,0.304309813,0.582377366,0.66436606,0.697088411,0.270737133,0.485292613,0.995341181,0.021504292,0.949267133,0.986883722,0.1850981,0.309403658,0.692464014,0.647189251,0.464293804,0.84223425
t11,0.824425754,0.138528102,0.569042945,0.396501031,0.987818646,0.221100074,0.189819993,0.429839702,0.556680437,0.954316972,0.846454028,0.820691255,0.982637473,0.053630165,0.876595204,0.217580096,0.626894693,0.351226017,0.967423483,0.196633257
t12,0.272641863,0.561678032,0.768147621,0.080325632,0.791150051,0.131050453,0.258104132,0.278459433,0.063647702,0.915063787,0.058444116,0.874578477,0.826716205,0.240169261,0.982404958,0.407057202,0.382788398,0.194655938,0.932856335,0.393629377
