State,Score Offense,First Down,Third Down Conversion,Yards Per Carry,Rush Yards,Pass Completion,Pass Yards,Turnovers,Sacks Taken,Defensive Scoring,Rushing Yards Allowed,Passing Yards Allowed,Interceptions,Fumbles,Sacks,Third Down Stop
2003,4,8,5,9,2,3,0,5,9,3,2,7,2,1,5,4
2004,9,0,7,0,7,1,0,7,2,4,2,4,3,3,7,6
2005,2,3,2,6,0,2,0,4,4,5,7,5,9,0,3,9
2006,1,7,2,0,2,8,4,2,7,6,0,0,1,5,3,9
2007,4,9,1,9,9,6,1,9,1,0,5,3,2,2,4,7
2008,9,2,6,0,5,4,1,6,8,2,3,6,2,0,2,9
2009,0,8,6,0,4,9,3,1,7,4,7,2,3,1,1,9
2010,1,8,7,4,1,0,2,5,7,6,9,2,1,2,5,8
2011,5,3,9,7,7,4,2,4,7,7,6,0,2,2,3,7
2012,1,3,5,3,5,7,9,4,2,2,7,1,1,1,9,6
2013,5,7,7,8,2,7,7,5,0,3,5,5,0,1,8,5
