team,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20
t1,0.177536344,0.622209147,0.578925228,0.01713559,0.562210706,0.788354598,0.080765066,0.360344874,0.909072381,0.651903501,0.093138137,0.390134873,0.80158739,0.369636377,0.645374203,0.232212063,0.267491543,0.016592002,0.908383915,0.259033717
t2,0.14494985,0.743502672,0.545037156,0.471594486,0.004294936,0.940220785,0.944246192,0.611677989,0.716264826,0.682519602,0.301917493,0.393817999,0.609022484,0.175536786,0.173937747,0.022611622,0.778067294,0.758272675,0.200780807,0.372847148
t3,0.746924246,0.283930151,0.408126462,0.403602769,0.196178613,0.73565333,0.051148888,0.962196043,0.805670936,0.765572763,0.154852137,0.4921048,0.400410826,0.878484278,0.71052211,0.100034898,0.766763525,0.961825836,0.957668325,0.831414894
t4,0.942948812,0.681101791,0.715308872,0.542176423,0.155370268,0.782418599,0.30271334,0.482396067,0.650918332,0.619270298,0.931131774,0.764488291,0.753018206,0.092036364,0.51465594,0.729932975,0.701247807,0.285506987,0.509294641,0.491104518
t5,0.963177446,0.496815181,0.988794558,0.779641038,0.851888756,0.185742042,0.307284319,0.822503163,0.094928927,0.573409976,0.877425554,0.551196557,0.034780089,0.623995268,0.448287747,0.953566927,0.423604998,0.669793544,0.945128006,0.113954239
t6,0.862063518,0.605227356,0.072198878,0.723551623,0.433260981,0.982251196,0.299712799,0.136233455,0.433784804,0.502937195,0.307963155,0.175134236,0.453488545,0.179889422,0.523945764,0.441814674,0.422166275,0.826320888,0.54986926,0.095263858
t7,0.200329236,0.917475729,0.507784192,0.207095119,0.832066277,0.606682838,0.97092154,0.90330684,0.919225458,0.533295451,0.731602733,0.78627695,0.09786458,0.139533123,0.730704416,0.292510778,0.3779149,0.255953229,0.159769368,0.738805947
t8,0.246304568,0.103721507,0.921730174,0.92786673,0.216646032,0.136606101,0.595500529,0.173986367,0.220022729,0.351470773,0.405772381,0.301767661,0.815411908,0.11823688,0.559818051,0.633594022,0.964926792,0.828803934,0.385447405,0.714890633
t9,0.537839683,0.319920097,0.031113228,0.243236521,0.074884597,0.938583103,0.830501364,0.628892352,0.072573142,0.215789563,0.774590365,0.30352824,0.429111046,0.627682736,0.254527446,0.638641683,0.948444645,0.061851913,0.66758074,0.425418302
t10,0.773526451,0.840499989,0.951115041,0.28015411,0.615904803,0.165560943,0.287890934,0.527441224,0.851329754,0.988459187,0.804861819,0.599225411,0.963333221,0.077761794,0.548349092,0.605567048,0.821383401,0.742513814,0.982422844,0.404628627
t11,0.798517726,0.015054611,0.316360086,0.64989206,0.581423045,0.8024383,0.868913663,0.128412243,0.4986888,0.503719623,0.568116478,0.993261453,0.25067539,0.381242244,0.451782756,0.90631045,0.024987478,0.268197665,0.107872817,0.122237042
t12,0.05889298,0.713711871,0.23301843,0.270932662,0.590287175,0.541247246,0.7596019,0.9690311,0.862974303,0.533726288,0.427613286,0.98654748,0.196812336,0.345208003,0.549004982,0.767983416,0.65364645,0.247414606,0.68616755,0.174390644
t13,0.989054097,0.780871726,0.200383899,0.683609602,0.324270969,0.586732005,0.578289612,0.830728357,0.044598219,0.182392384,0.523893687,0.619651382,0.269196363,0.385807777,0.07175947,0.939597264,0.969995871,0.487145176,0.79735432,0.812968026
t14,0.814002613,0.384989629,0.315017211,0.142643885,0.064322888,0.704239372,0.383106429,0.811549282,0.290398383,0.203999867,0.576551682,0.108394664,0.513369133,0.301434947,0.689476639,0.23079441,0.747399665,0.01598953,0.859560132,0.450269432
t15,0.526467759,0.819953587,0.962926812,0.959991733,0.681622595,0.764733117,0.237262019,0.100832204,0.421470518,0.362459208,0.33636619,0.422721969,0.646795156,0.8580479,0.075618107,0.791841361,0.311186897,0.565966568,0.152771995,0.439001823
t16,0.591515266,0.892343441,0.996675621,0.127239285,0.108625394,0.136985454,0.105491873,0.640542464,0.589924059,0.475560401,0.842933817,0.415164144,0.10016533,0.376491519,0.899512733,0.530716886,0.833696327,0.073787634,0.421698768,0.876996979
t17,0.058011762,0.777413341,0.544585333,0.570859302,0.466226514,0.002080449,0.67915489,0.859939068,0.569288496,0.760328822,0.512564443,0.336055009,0.131012784,0.775583188,0.360414699,0.928571056,0.424547737,0.462104604,0.656738498,0.549636771
t18,0.303673373,0.386611657,0.439276265,0.908644423,0.213418278,0.597825367,0.948037384,0.433926717,0.732891202,0.774162019,0.139279571,0.350662311,0.678498268,0.048129918,0.741647103,0.019080322,0.402945282,0.173705627,0.233872941,0.515107043
t19,0.84301007,0.111644468,0.91161295,0.139795725,0.542010548,0.431014157,0.845140358,0.611644713,0.782942142,0.412316866,0.449845171,0.387260471,0.015331051,0.475520132,0.810096707,0.285056599,0.872662975,0.161991371,0.087016479,0.105107361
t20,0.152043562,0.637401291,0.009944337,0.752051545,0.855577393,0.162795861,0.764066469,0.063781242,0.640772344,0.016997171,0.086196876,0.893972491,0.392170028,0.285674835,0.550439633,0.14453417,0.428487647,0.46576982,0.889581897,0.235281343
t21,0.018420479,0.085085144,0.470023743,0.192893822,0.005795697,0.700792975,0.60687823,0.461264685,0.527778943,0.215700047,0.726014313,0.518975252,0.519585744,0.209563161,0.144860897,0.849554217,0.677203218,0.889083416,0.243803231,0.322447107
t22,0.809290304,0.340334338,0.349103483,0.510028995,0.212099427,0.090992289,0.124576248,0.554470762,0.705550159,0.84755064,0.805223756,0.826882385,0.334069764,0.548598108,0.104557516,0.014793645,0.984355278,0.751193705,0.761288116,0.063383543
t23,0.778061656,0.534941199,0.949355585,0.223629463,0.424195184,0.403746924,0.201273497,0.474290776,0.520541904,0.111145397,0.645779995,0.954686664,0.522532542,0.79803262,0.764303222,0.933063416,0.290317497,0.713506995,0.557760681,0.3309479
t24,0.468696888,0.322120545,0.206178908,0.339540243,0.285319158,0.071040957,0.085595021,0.578601022,0.338057619,0.166379563,0.028824693,0.933338423,0.559955394,0.54888365,0.907259635,0.273906511,0.4196327,0.975820063,0.345880833,0.245223151
t25,0.487116932,0.63076606,0.480734182,0.887666344,0.642198357,0.249296621,0.764294295,0.438493373,0.030332112,0.614978986,0.336986276,0.261012251,0.843841968,0.543302942,0.796865744,0.844887774,0.273664232,0.705685659,0.989335771,0.831945804
t26,0.313651828,0.014586395,0.002959051,0.216235626,0.290024095,0.712554018,0.9226415,0.704242125,0.208275659,0.113413368,0.222420294,0.773432294,0.49227998,0.371491904,0.199477081,0.052168418,0.846594718,0.945872551,0.79522808,0.169070134
t27,0.46287461,0.964505955,0.438529414,0.550853123,0.822939494,0.139099694,0.318734793,0.38128456,0.447666992,0.716642936,0.475709291,0.712134674,0.688001223,0.988114165,0.262339347,0.650232818,0.863032988,0.364516057,0.996697518,0.090850879
t28,0.799710564,0.43874017,0.865559899,0.71256355,0.998039221,0.010733552,0.075840555,0.865634377,0.8089758,0.15753442,0.523608193,0.721024041,0.185783274,0.721902727,0.274481241,0.514809799,0.190431367,0.711936497,0.574360607,0.730991216
t29,0.777560615,0.019175819,0.048184512,0.793225975,0.479753907,0.382057326,0.427029223,0.861789203,0.874387949,0.702918842,0.836161423,0.643676865,0.154348276,0.002429775,0.707794655,0.107693805,0.341250019,0.762576274,0.919376531,0.974936586
t30,0.236375564,0.193145257,0.826142101,0.719659281,0.604514655,0.646071716,0.380093367,0.223678777,0.268196417,0.79393201,0.656795334,0.840911703,0.011144889,0.441532577,0.446525266,0.893490594,0.287837407,0.927082848,0.111424748,0.318585989
t31,0.049303811,0.611227336,0.606896194,0.09711962,0.189134293,0.139160474,0.45923578,0.621671731,0.320828127,0.000700988,0.186728949,0.733258303,0.879448238,0.328889227,0.302828563,0.812254791,0.85763418,0.673759212,0.543999246,0.645318351
t32,0.570862172,0.474837908,0.934863849,0.724977752,0.775847593,0.825198185,0.470264659,0.241555181,0.740503318,0.219881831,0.878834461,0.7135399,0.206480271,0.118053509,0.669035664,0.241088006,0.61640216,0.155199107,0.210607623,0.942748235
